g1;codkon;codvuz;z2;g7;g5;g6;g8;g9;g10;g11;g2;g21;g22;g23;g24
109;06;    53;;50.09,50.10;600000;Разработка численных алгоритмов и путей реализации многослойных нейронных сетей для решения общей томографической задачи;Саломатов В.Н.;проректор;профессор;доктор физико-математических наук;0;0;0;0;0
114;06;    33;;20.23.15,20.23.21;600000;Исследования по объектно-ориентированным моделям данных и знаний;Сафаралиев Г.К.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 47;06;    76;;50.03;400000;Адаптивная синхронизация и управление нелинейными колебаниями;Курехин В.В.;профессор;профессор;доктор технических наук;0;0;0;0;0
  3;06;    12;;49.31.29,49.43.31;300000;Проектирование высокоскоростных программируемых устройств обработки цифровых сигналов спутниковых систем связи специального назначения;Сильман Г.И.;проректор;профессор;доктор технических наук;0;0;0;0;0
 21;06;    76;;28.29;600000;"Измерение целей системы с помощью оценок ""труд-ность достижения цели""";Першин В.В.;проректор;профессор;доктор технических наук;0;0;0;0;0
 50;06;    96;;50.47;700000;Разработка и исследование методов параметрического анализа и синтеза робастных систем автоматизации технологических процессов на основе теории D-разбиения;Чурсин В.М.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 51;06;    38;;50.03;500000;Структурный синтез динамических систем на основе модульной декомпозиции математических моделей;Анисимов С.Д.;профессор;профессор;доктор технических наук;0;0;0;0;0
 59;06;    97;;20.53.19,20.53.21;500000;Методы и алгоритмы оценочно-корреляционной обработки сигналов и компенсации помех;Авдохин В.М.;профессор;профессор;доктор технических наук;0;0;0;0;0
 64;06;    80;;28.17,28.29;600000;Технология системного метамоделиpования на основе семантического пpогpаммиpования для задач исследования и пpоектиpования сложных систем;Салганик В.М.;ректор;профессор;доктор технических наук;0;0;0;0;0
  8;06;    53;;49.31.29;700000;Статистический синтез и анализ алгоритмов оценки параметров сигналов радиотехнических систем для различных типов несущих колебаний;Федотов К.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 72;06;    40;;28.19;400000;Разработка теории и методов искусственного интеллекта для автоматизированного управления добычей полезных ископаемых;Кашицын А.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 21;07;    67;;34.23;500000;Изучение пространственной организауии почвенных водорослей и влияния на нее факторов среды;Абрамов Л.М.;заведующий лабораторией;доцент;кандидат биологических наук;0;0;0;0;0
  1;07;    71;;31.15;200000;Термодинамика высокотемпературных химических процессов с участием соединений редкоземельных металлов;Качин С.В.;профессор;профессор;доктор химических наук;0;0;0;0;0
 21;07;    13;;31.17;600000;Природа стеклообразного состояния вещества и физико-химические свойства халькогенидных стеклообразных сплавов;Ольшевский М.В.;доцент;доцент;кандидат химических наук;0;0;0;0;0
457;07;    13;;29.19;600000;Квазиодномерные системы с вырожденным состоянием узла;Прокошев В.Г.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
249;07;    18;;31.15.03;400000;"Cтроение и колебательные спектры молекул солей кислородсодержащих кислот типа МClО3 и М2ХО3, где X = S, Se, Te ; M = Li, Na, K, Rb, Cs. Неэмпирическое исследование с учетом электронной корреляции";Кравченко Т.А.;профессор;доцент;доктор химических наук;0;0;0;0;0
 78;07;    41;;29.19.15;700000;Исследование особенностей кристаллической и зонной структур соединений A2B6, содержащих низкоразмерную фазу, сверхрешетки, квантовые ямы, а также систем со структурным переходом ZB-W;Ушаков С.Г.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 33;07;    92;;27.27;240000;Рост целых и мероморфных функций;Исаченков Е.И.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
124;07;    52;;27.37;240000;Теоретико-групповые методы в проблеме оптимизации систем с распределенными параметрами с приложением к задаче математического моделирования оптимльной тепловой защиты;Дыхта В.А.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
